5.6; 6.0; 
8.5; 8.2; 
8.3; 8.55; 
8.2; 8.35; 
8.5; 9.1; 
7.9; 7.2; 
6.6; 8; 
8.3; 7.9; 
7.0; 8; 
3.3; 8.2; 
8.0; 7.3; 
6.2; 6.4; 
7.7; 9.05; 
5.5; 8.0; 
7.3; 5.1; 
6.2; 8.8; 
7.2; 8.75; 
7.6; 8.5; 
7.2; 7.7; 
7.4; 8.55; 
8.3; 8.3; 
6.2; 5.8; 
8.5; 8.5; 
7.4; 7.2; 
7.4; 7.4; 
7.0; 7.7; 
7.2; 8.15; 
7.0; 6.8; 
7.3; 7.85; 
7.5; 7.2; 
3.6; 8.7; 
6.6; 7.25; 
7.7; 7.05; 
7.7; 6.0; 
6.9; 6.8; 
7.6; 5.1; 
7.2; 7.65; 
7.0; 7.0; 
7.3; 7; 
7.2; 8.8; 
7.7; 8.35; 
7.4; 9.95; 
6.9; 7.95; 
7.5; 7.4; 
6.2; 9.8; 
8.0; 6.4; 
8.5; 9.35; 
7.7; 10; 
8.2; 8.6; 
6.2; 5.3; 
8.1; 8.7; 
7.4; 7.05; 
7.4; 7.3; 
6.3; 7.35; 
7.0; 5.8; 
4.6; 9.0; 
5.6; 5.3; 
7.3; 5.8; 
4.6; 5.3; 
8.7; 8.0; 
7.5; 6.1; 
7.9; 8.0; 
7.4; 10.0; 
8.2; 8.4; 
7.1; 6.95; 
8.2; 9.75; 
5.6; 6.1; 
6.6; 7.5; 
8.3; 6.65; 
7.3; 9.2; 
7.2; 7.05; 
6.2; 8.0; 
7.7; 7.55; 
6.4; 9.5; 
7.2; 7.9; 
7.7; 7.4; 
8.3; 6.55; 
7.0; 6.3; 
7.9; 5; 
7.6; 7.35; 
8.5; 5.6; 
6.8; 4.85; 
8.7; 8.4; 
7.2; 7.7; 
7.5; 7.7; 
8.1; 8.1; 
7.1; 8.4; 
6.3; 8.3; 
3.6; 8.5; 
5.0; 8.85; 
7.9; 8; 
7.2; 6.9; 
6.2; 5.75; 
5.8; 6.3; 
8.8; 8.4; 
8.0; 7.0; 
6.6; 7.4; 
7.6; 7.65; 
7.2; 7.2; 
3.6; 8.0; 
8.0; 6.4; 
7.4; 7.85; 
8.5; 9.4; 
6.6; 7.7; 
8.2; 7.1; 
6.2; 5.65; 
7.5; 7.1; 
7.2; 8.25; 
8.5; 7.05; 
7.5; 8.0; 
7.3; 5.6; 
8.5; 7.05; 
8.1; 9; 
7.9; 7.85; 
8.5; 9.3; 
8.3; 8.7; 
6.8; 7.3; 
7.3; 8.4; 
7.2; 7.3; 
8.5; 7.25; 
8.7; 6.1; 
7.4; 7.2; 
7.0; 10.0; 
7.0; 5.6; 
8.5; 7; 
7.7; 7.75; 
7.0; 4.7; 
7.5; 7.5; 
8.3; 8.4; 
8.3; 8.1; 
7.6; 6.65; 
7.3; 7.2; 
8.5; 6.85; 
5.6; 5.8; 
8.2; 8.95; 
8.5; 7.2; 
7.3; 5.4; 
8.7; 7.5; 
8.8; 9.2; 
8.5; 8.1; 
7.2; 8.9; 
7.0; 8.7; 
5.5; 4.0; 
4.6; 4.7; 
6.9; 8.1; 
4.6; 5.3; 
7.5; 6.1; 
7.3; 8.05; 
7.1; 8.45; 
7.1; 6.7; 
7.0; 5.8; 
7.9; 9.15; 
7.5; 7.9; 
